
2025/03/10 (17:14:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (10:19:15) | ===> btop++ v.1.4.0
2025/03/11 (10:19:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (14:30:06) | ===> btop++ v.1.4.0
2025/03/11 (14:30:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (16:04:27) | ERROR: Stall in Runner thread, restarting!

2025/03/13 (10:23:45) | ===> btop++ v.1.4.0
2025/03/13 (10:23:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (12:04:22) | ===> btop++ v.1.4.0
2025/03/15 (12:04:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (21:29:06) | ===> btop++ v.1.4.0
2025/03/15 (21:29:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/16 (01:25:02) | ===> btop++ v.1.4.0
2025/03/16 (01:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (11:20:34) | ===> btop++ v.1.4.0
2025/03/17 (11:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (15:42:45) | ===> btop++ v.1.4.0
2025/03/17 (15:42:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (11:04:38) | ===> btop++ v.1.4.0
2025/03/18 (11:04:38) | ERROR: Stall in Runner thread, restarting!
2025/03/18 (11:05:29) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (14:22:39) | ===> btop++ v.1.4.0
2025/03/18 (14:22:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
